3.1.9	starrocks/allin1-ubuntu:3.1.9	2024-03-08
3.1.10	starrocks/allin1-ubuntu:3.1.10	2024-03-29
3.1.11	starrocks/allin1-ubuntu:3.1.11	2024-04-28
3.1.12	starrocks/allin1-ubuntu:3.1.12	2024-05-30
3.1.13	starrocks/allin1-ubuntu:3.1.13	2024-06-26
3.1.14	starrocks/allin1-ubuntu:3.1.14	2024-07-30
3.1.15	starrocks/allin1-ubuntu:3.1.15	2024-09-04
3.1.16	starrocks/allin1-ubuntu:3.1.16	2024-12-16
3.1.17	starrocks/allin1-ubuntu:3.1.17	2025-01-03
3.2.1	starrocks/allin1-ubuntu:3.2.1	2023-12-26
3.2.2	starrocks/allin1-ubuntu:3.2.2	2024-01-02
3.2.3	starrocks/allin1-ubuntu:3.2.3	2024-02-10
3.2.4	starrocks/allin1-ubuntu:3.2.4	2024-03-12
3.2.6	starrocks/allin1-ubuntu:3.2.6	2024-04-19
3.2.7	starrocks/allin1-ubuntu:3.2.7	2024-05-25
3.2.8	starrocks/allin1-ubuntu:3.2.8	2024-06-07
3.2.9	starrocks/allin1-ubuntu:3.2.9	2024-07-11
3.2.10	starrocks/allin1-ubuntu:3.2.10	2024-08-23
3.2.11	starrocks/allin1-ubuntu:3.2.11	2024-09-09
3.2.12	starrocks/allin1-ubuntu:3.2.12	2024-11-14
3.2.13	starrocks/allin1-ubuntu:3.2.13	2024-12-13
3.2.14	starrocks/allin1-ubuntu:3.2.14	2025-01-09
3.2.15	starrocks/allin1-ubuntu:3.2.15	2025-02-20
3.2.16	starrocks/allin1-ubuntu:3.2.16	2025-05-06
3.3.0	starrocks/allin1-ubuntu:3.3.0	2024-06-21
3.3.1	starrocks/allin1-ubuntu:3.3.1	2024-07-19
3.3.2	starrocks/allin1-ubuntu:3.3.2	2024-08-08
3.3.3	starrocks/allin1-ubuntu:3.3.3	2024-09-05
3.3.4	starrocks/allin1-ubuntu:3.3.4	2024-09-30
3.3.5	starrocks/allin1-ubuntu:3.3.5	2024-10-24
3.3.6	starrocks/allin1-ubuntu:3.3.6	2024-11-20
3.3.7	starrocks/allin1-ubuntu:3.3.7	2024-12-12
3.3.8	starrocks/allin1-ubuntu:3.3.8	2025-01-06
3.3.9	starrocks/allin1-ubuntu:3.3.9	2025-01-13
3.3.10	starrocks/allin1-ubuntu:3.3.10	2025-02-20
3.3.11	starrocks/allin1-ubuntu:3.3.11	2025-03-20
3.3.12	starrocks/allin1-ubuntu:3.3.12	2025-04-08
3.3.13	starrocks/allin1-ubuntu:3.3.13	2025-04-22
3.3.14	starrocks/allin1-ubuntu:3.3.14	2025-05-16
3.3.15	starrocks/allin1-ubuntu:3.3.15	2025-06-19
3.3.16	starrocks/allin1-ubuntu:3.3.16	2025-07-04
3.3.17	starrocks/allin1-ubuntu:3.3.17	2025-07-31
3.3.18	starrocks/allin1-ubuntu:3.3.18	2025-08-28
3.3.19	starrocks/allin1-ubuntu:3.3.19	2025-10-14
3.3.20	starrocks/allin1-ubuntu:3.3.20	2025-11-18
3.3.21	starrocks/allin1-ubuntu:3.3.21	2025-12-25
3.3.22	starrocks/allin1-ubuntu:3.3.22	2026-01-27
3.4.0	starrocks/allin1-ubuntu:3.4.0	2025-01-24
3.4.1	starrocks/allin1-ubuntu:3.4.1	2025-03-13
3.4.2	starrocks/allin1-ubuntu:3.4.2	2025-04-11
3.4.3	starrocks/allin1-ubuntu:3.4.3	2025-06-10
3.4.4	starrocks/allin1-ubuntu:3.4.4	2025-06-10
3.4.5	starrocks/allin1-ubuntu:3.4.5	2025-07-11
3.4.6	starrocks/allin1-ubuntu:3.4.6	2025-08-07
3.4.7	starrocks/allin1-ubuntu:3.4.7	2025-09-01
3.4.8	starrocks/allin1-ubuntu:3.4.8	2025-09-30
3.4.9	starrocks/allin1-ubuntu:3.4.9	2025-11-24
3.4.10	starrocks/allin1-ubuntu:3.4.10	2026-01-14
3.5.0	starrocks/allin1-ubuntu:3.5.0	2025-06-16
3.5.1	starrocks/allin1-ubuntu:3.5.1	2025-07-02
3.5.2	starrocks/allin1-ubuntu:3.5.2	2025-07-21
3.5.3	starrocks/allin1-ubuntu:3.5.3	2025-08-11
3.5.4	starrocks/allin1-ubuntu:3.5.4	2025-08-22
3.5.5	starrocks/allin1-ubuntu:3.5.5	2025-09-05
3.5.6	starrocks/allin1-ubuntu:3.5.6	2025-09-22
3.5.7	starrocks/allin1-ubuntu:3.5.7	2025-10-21
3.5.8	starrocks/allin1-ubuntu:3.5.8	2025-11-10
3.5.9	starrocks/allin1-ubuntu:3.5.9	2025-11-27
3.5.10	starrocks/allin1-ubuntu:3.5.10	2025-12-15
3.5.11	starrocks/allin1-ubuntu:3.5.11	2026-01-06
3.5.12	starrocks/allin1-ubuntu:3.5.12	2026-01-22
3.5.13	starrocks/allin1-ubuntu:3.5.13	2026-02-13
3.5.14	starrocks/allin1-ubuntu:3.5.14	2026-03-05
3.5.15	starrocks/allin1-ubuntu:3.5.15	2026-03-30
3.5.16	starrocks/allin1-ubuntu:3.5.16	2026-04-20
3.5.17	starrocks/allin1-ubuntu:3.5.17	2026-05-14
3.5.18	starrocks/allin1-ubuntu:3.5.18	2026-06-09
3.5.19	starrocks/allin1-ubuntu:3.5.19	2026-06-30
4.0.0	starrocks/allin1-ubuntu:4.0.0	2025-10-17
4.0.1	starrocks/allin1-ubuntu:4.0.1	2025-11-17
4.0.2	starrocks/allin1-ubuntu:4.0.2	2025-12-06
4.0.3	starrocks/allin1-ubuntu:4.0.3	2025-12-25
4.0.4	starrocks/allin1-ubuntu:4.0.4	2026-01-16
4.0.5	starrocks/allin1-ubuntu:4.0.5	2026-02-04
4.0.6	starrocks/allin1-ubuntu:4.0.6	2026-02-16
4.0.7	starrocks/allin1-ubuntu:4.0.7	2026-03-12
4.0.8	starrocks/allin1-ubuntu:4.0.8	2026-03-26
4.0.9	starrocks/allin1-ubuntu:4.0.9	2026-04-17
4.0.10	starrocks/allin1-ubuntu:4.0.10	2026-05-09
4.0.11	starrocks/allin1-ubuntu:4.0.11	2026-06-09
4.0.12	starrocks/allin1-ubuntu:4.0.12	2026-06-25
4.1.0	starrocks/allin1-ubuntu:4.1.0	2026-04-21
4.1.1	starrocks/allin1-ubuntu:4.1.1	2026-06-18
