page cache dropped before each query (6 tries: 1 cold + 5 hot)
=== CREATE job tables ===
=== LOAD job ===
=== ANALYZE job ===
statistics on job: 0s
loaded job in 68s, 3411554304 bytes
benchmarking DuckDB 1.5.5 (reports v1.5.5)
tpch: no database file at /home/ubuntu/dbbench/duckdb/.duckdb/db-tpch.duckdb
=== tpch: not fully loaded; skipping its queries, load time and size ===
q69 [tpcds]: SKIPPED (not loaded); recording null
q70 [tpcds]: SKIPPED (not loaded); recording null
q71 [tpcds]: SKIPPED (not loaded); recording null
q72 [tpcds]: SKIPPED (not loaded); recording null
q73 [tpcds]: SKIPPED (not loaded); recording null
q74 [tpcds]: SKIPPED (not loaded); recording null
q75 [tpcds]: SKIPPED (not loaded); recording null
q76 [tpcds]: SKIPPED (not loaded); recording null
q77 [tpcds]: SKIPPED (not loaded); recording null
q78 [tpcds]: SKIPPED (not loaded); recording null
q79 [tpcds]: SKIPPED (not loaded); recording null
q80 [tpcds]: SKIPPED (not loaded); recording null
q81 [tpcds]: SKIPPED (not loaded); recording null
q82 [tpcds]: SKIPPED (not loaded); recording null
q83 [tpcds]: SKIPPED (not loaded); recording null
q84 [tpcds]: SKIPPED (not loaded); recording null
q85 [tpcds]: SKIPPED (not loaded); recording null
q86 [tpcds]: SKIPPED (not loaded); recording null
q87 [tpcds]: SKIPPED (not loaded); recording null
q88 [tpcds]: SKIPPED (not loaded); recording null
q89 [tpcds]: SKIPPED (not loaded); recording null
q90 [tpcds]: SKIPPED (not loaded); recording null
q91 [tpcds]: SKIPPED (not loaded); recording null
q92 [tpcds]: SKIPPED (not loaded); recording null
q93 [tpcds]: SKIPPED (not loaded); recording null
q94 [tpcds]: SKIPPED (not loaded); recording null
q95 [tpcds]: SKIPPED (not loaded); recording null
q96 [tpcds]: SKIPPED (not loaded); recording null
q97 [tpcds]: SKIPPED (not loaded); recording null
q98 [tpcds]: SKIPPED (not loaded); recording null
q99 [tpcds]: SKIPPED (not loaded); recording null
q100 [tpcds]: SKIPPED (not loaded); recording null
q101 [tpcds]: SKIPPED (not loaded); recording null
q102 [tpcds]: SKIPPED (not loaded); recording null
q103 [tpcds]: SKIPPED (not loaded); recording null
q104 [tpcds]: SKIPPED (not loaded); recording null
q105 [tpcds]: SKIPPED (not loaded); recording null
q106 [tpcds]: SKIPPED (not loaded); recording null
q107 [tpcds]: SKIPPED (not loaded); recording null
q108 [tpcds]: SKIPPED (not loaded); recording null
q109 [tpcds]: SKIPPED (not loaded); recording null
q110 [tpcds]: SKIPPED (not loaded); recording null
q111 [tpcds]: SKIPPED (not loaded); recording null
q112 [tpcds]: SKIPPED (not loaded); recording null
q113 [tpcds]: SKIPPED (not loaded); recording null
q114 [tpcds]: SKIPPED (not loaded); recording null
q115 [tpcds]: SKIPPED (not loaded); recording null
q116 [tpcds]: SKIPPED (not loaded); recording null
q117 [tpcds]: SKIPPED (not loaded); recording null
q118 [tpcds]: SKIPPED (not loaded); recording null
q119 [tpcds]: SKIPPED (not loaded); recording null
q120 [tpcds]: SKIPPED (not loaded); recording null
q121 [tpcds]: SKIPPED (not loaded); recording null
q122 [tpcds]: SKIPPED (not loaded); recording null
q123 [tpcds]: SKIPPED (not loaded); recording null
q124 [tpcds]: SKIPPED (not loaded); recording null
q125 [tpcds]: SKIPPED (not loaded); recording null
q126 [job]: [0.066, 0.008, 0.008, 0.008, 0.007, 0.008]
q127 [job]: [0.064, 0.007, 0.007, 0.006, 0.007, 0.006]
q128 [job]: [0.070, 0.007, 0.007, 0.007, 0.006, 0.007]
q129 [job]: [0.069, 0.007, 0.007, 0.007, 0.008, 0.007]
q130 [job]: [0.105, 0.019, 0.017, 0.016, 0.016, 0.016]
q131 [job]: [0.113, 0.023, 0.018, 0.016, 0.016, 0.015]
q132 [job]: [0.087, 0.022, 0.016, 0.013, 0.014, 0.013]
q133 [job]: [0.322, 0.023, 0.023, 0.022, 0.028, 0.022]
q134 [job]: [4.613, 0.058, 0.049, 0.048, 0.047, 0.049]
q135 [job]: [4.376, 0.023, 0.022, 0.022, 0.022, 0.021]
q136 [job]: [4.595, 0.033, 0.032, 0.031, 0.033, 0.031]
q137 [job]: [0.224, 0.058, 0.052, 0.055, 0.051, 0.054]
q138 [job]: [0.112, 0.012, 0.011, 0.010, 0.011, 0.010]
q139 [job]: [0.404, 0.068, 0.065, 0.064, 0.064, 0.075]
q140 [job]: [4.532, 0.050, 0.048, 0.048, 0.048, 0.048]
q141 [job]: [4.549, 0.026, 0.026, 0.025, 0.025, 0.025]
q142 [job]: [4.200, 0.036, 0.032, 0.033, 0.031, 0.032]
q143 [job]: [1.727, 0.025, 0.025, 0.023, 0.024, 0.023]
q144 [job]: [0.523, 0.015, 0.013, 0.013, 0.013, 0.013]
q145 [job]: [1.544, 0.019, 0.018, 0.018, 0.019, 0.018]
q146 [job]: [0.692, 0.025, 0.024, 0.022, 0.022, 0.022]
q147 [job]: [1.816, 0.024, 0.023, 0.023, 0.023, 0.022]
q148 [job]: [1.966, 0.054, 0.058, 0.051, 0.051, 0.049]
q149 [job]: [0.855, 0.030, 0.027, 0.016, 0.018, 0.017]
q150 [job]: [0.401, 0.015, 0.013, 0.013, 0.013, 0.013]
q151 [job]: [3.283, 0.345, 0.338, 0.403, 0.384, 0.315]
q152 [job]: [0.164, 0.023, 0.022, 0.021, 0.021, 0.021]
q153 [job]: [0.623, 0.020, 0.019, 0.017, 0.019, 0.017]
q154 [job]: [0.512, 0.125, 0.121, 0.114, 0.125, 0.117]
q155 [job]: [0.183, 0.075, 0.076, 0.071, 0.075, 0.071]
q156 [job]: [0.865, 0.066, 0.058, 0.059, 0.058, 0.060]
q157 [job]: [0.968, 0.041, 0.037, 0.035, 0.036, 0.035]
q158 [job]: [1.197, 0.065, 0.063, 0.058, 0.058, 0.057]
q159 [job]: [1.119, 0.113, 0.112, 0.104, 0.115, 0.106]
q160 [job]: [0.799, 0.017, 0.017, 0.016, 0.016, 0.016]
q161 [job]: [0.999, 0.016, 0.014, 0.016, 0.014, 0.014]
q162 [job]: [2.108, 0.108, 0.066, 0.062, 0.066, 0.060]
q163 [job]: [0.092, 0.015, 0.013, 0.014, 0.014, 0.013]
q164 [job]: [0.087, 0.012, 0.012, 0.012, 0.012, 0.012]
q165 [job]: [0.233, 0.149, 0.144, 0.146, 0.141, 0.145]
q166 [job]: [0.526, 0.414, 0.400, 0.401, 0.410, 0.395]
q167 [job]: [0.113, 0.017, 0.016, 0.015, 0.016, 0.015]
q168 [job]: [0.111, 0.023, 0.022, 0.021, 0.021, 0.021]
q169 [job]: [0.115, 0.024, 0.023, 0.021, 0.022, 0.021]
q170 [job]: [0.111, 0.019, 0.019, 0.018, 0.018, 0.018]
q171 [job]: [0.253, 0.033, 0.033, 0.033, 0.031, 0.032]
q172 [job]: [0.112, 0.034, 0.030, 0.028, 0.030, 0.029]
q173 [job]: [0.144, 0.064, 0.057, 0.058, 0.061, 0.052]
q174 [job]: [0.133, 0.040, 0.039, 0.039, 0.040, 0.032]
q175 [job]: [0.099, 0.023, 0.023, 0.023, 0.022, 0.022]
q176 [job]: [0.234, 0.061, 0.080, 0.055, 0.054, 0.054]
q177 [job]: [0.545, 0.032, 0.031, 0.030, 0.030, 0.029]
q178 [job]: [3.756, 0.035, 0.031, 0.028, 0.027, 0.024]
q179 [job]: [0.625, 0.065, 0.066, 0.066, 0.062, 0.061]
q180 [job]: [0.345, 0.088, 0.078, 0.081, 0.073, 0.076]
q181 [job]: [1.457, 0.026, 0.025, 0.024, 0.025, 0.024]
q182 [job]: [1.842, 0.179, 0.171, 0.166, 0.174, 0.176]
q183 [job]: [0.976, 0.059, 0.059, 0.059, 0.056, 0.058]
q184 [job]: [1.554, 0.051, 0.055, 0.053, 0.051, 0.052]
q185 [job]: [1.446, 0.066, 0.065, 0.061, 0.055, 0.060]
q186 [job]: [1.562, 0.084, 0.079, 0.064, 0.082, 0.081]
q187 [job]: [1.466, 0.081, 0.063, 0.073, 0.073, 0.074]
q188 [job]: [1.557, 0.083, 0.081, 0.090, 0.066, 0.066]
q189 [job]: [1.534, 0.059, 0.064, 0.061, 0.061, 0.061]
q190 [job]: [1.664, 0.113, 0.111, 0.115, 0.115, 0.116]
q191 [job]: [2.172, 0.055, 0.054, 0.053, 0.052, 0.054]
q192 [job]: [2.253, 0.029, 0.028, 0.028, 0.028, 0.028]
q193 [job]: [2.366, 0.057, 0.052, 0.053, 0.052, 0.046]
q194 [job]: [1.219, 0.076, 0.071, 0.069, 0.068, 0.068]
q195 [job]: [0.983, 0.042, 0.039, 0.038, 0.038, 0.038]
q196 [job]: [1.208, 0.094, 0.090, 0.090, 0.088, 0.088]
q197 [job]: [0.766, 0.157, 0.155, 0.149, 0.148, 0.153]
q198 [job]: [1.537, 0.103, 0.080, 0.077, 0.078, 0.110]
q199 [job]: [1.840, 0.057, 0.052, 0.057, 0.049, 0.053]
q200 [job]: [2.233, 0.058, 0.057, 0.054, 0.053, 0.056]
q201 [job]: [0.127, 0.018, 0.017, 0.017, 0.017, 0.016]
q202 [job]: [0.111, 0.017, 0.018, 0.016, 0.016, 0.016]
q203 [job]: [0.120, 0.018, 0.018, 0.017, 0.017, 0.017]
q204 [job]: [0.296, 0.069, 0.059, 0.062, 0.059, 0.060]
q205 [job]: [0.307, 0.045, 0.044, 0.044, 0.040, 0.044]
q206 [job]: [0.545, 0.120, 0.115, 0.112, 0.110, 0.100]
q207 [job]: [0.336, 0.166, 0.149, 0.155, 0.149, 0.159]
q208 [job]: [0.143, 0.051, 0.049, 0.050, 0.050, 0.049]
q209 [job]: [0.135, 0.027, 0.025, 0.025, 0.025, 0.026]
q210 [job]: [0.159, 0.054, 0.053, 0.051, 0.051, 0.047]
q211 [job]: [1.070, 0.063, 0.061, 0.059, 0.055, 0.061]
q212 [job]: [1.747, 0.027, 0.021, 0.021, 0.021, 0.021]
q213 [job]: [2.614, 0.061, 0.062, 0.058, 0.051, 0.049]
q214 [job]: [1.543, 0.024, 0.024, 0.021, 0.025, 0.024]
q215 [job]: [2.644, 0.112, 0.094, 0.086, 0.086, 0.083]
q216 [job]: [2.084, 0.053, 0.051, 0.045, 0.047, 0.045]
q217 [job]: [2.062, 0.029, 0.025, 0.026, 0.025, 0.024]
q218 [job]: [2.210, 0.080, 0.074, 0.075, 0.064, 0.075]
q219 [job]: [0.115, 0.017, 0.015, 0.016, 0.015, 0.015]
q220 [job]: [0.123, 0.014, 0.014, 0.014, 0.013, 0.014]
q221 [job]: [0.114, 0.016, 0.015, 0.015, 0.015, 0.015]
q222 [job]: [4.463, 0.102, 0.095, 0.095, 0.094, 0.098]
q223 [job]: [3.445, 0.052, 0.046, 0.048, 0.044, 0.042]
q224 [job]: [4.701, 0.094, 0.087, 0.084, 0.087, 0.086]
q225 [job]: [1.845, 0.028, 0.027, 0.027, 0.027, 0.027]
q226 [job]: [2.192, 0.028, 0.027, 0.026, 0.026, 0.026]
q227 [job]: [4.299, 0.286, 0.052, 0.040, 0.092, 0.073]
q228 [job]: [2.666, 0.061, 0.061, 0.054, 0.054, 0.057]
q229 [job]: [1.653, 0.044, 0.044, 0.042, 0.042, 0.040]
q230 [job]: [2.526, 0.087, 0.095, 0.078, 0.078, 0.079]
q231 [job]: [2.220, 0.084, 0.082, 0.072, 0.068, 0.068]
q232 [job]: [1.996, 0.063, 0.055, 0.057, 0.058, 0.057]
q233 [job]: [2.514, 0.115, 0.101, 0.094, 0.086, 0.086]
q234 [job]: [0.057, 0.006, 0.006, 0.005, 0.006, 0.005]
q235 [job]: [0.089, 0.013, 0.012, 0.012, 0.011, 0.012]
q236 [job]: [0.106, 0.016, 0.016, 0.015, 0.015, 0.015]
q237 [job]: [0.123, 0.021, 0.019, 0.020, 0.017, 0.018]
q238 [job]: [0.121, 0.019, 0.018, 0.017, 0.018, 0.017]
wrote /home/ubuntu/dbbench/results/duckdb/20260828T150540Z.json
DuckDB 1.5.5: tpch 0/22  tpcds 0/103  job 113/113   load_time {'job': 68}
