page cache dropped before each query (6 tries: 1 cold + 5 hot)
starting Firebolt 4.31.13 (ghcr.io/firebolt-db/firebolt-core:4.31.13-0.20260424104720.5698ca5339fc)
Firebolt up (4.31.13-0.20260424104720.5698ca5339fc)
STATISTICS=1: per-column ALTER ... ADD STATISTICS after each load (see stats/)
=== CREATE job tables ===
=== LOAD job ===
=== ADD STATISTICS job (108 statements) ===
statistics on job: 12s
loaded job in 36s
benchmarking Firebolt 4.31.13 (reports 4.31.13-0.20260424104720.5698ca5339fc)
=== tpch: not fully loaded; skipping its queries, load time and size ===
q49 [tpcds]: SKIPPED (not loaded); recording null
q50 [tpcds]: SKIPPED (not loaded); recording null
q51 [tpcds]: SKIPPED (not loaded); recording null
q52 [tpcds]: SKIPPED (not loaded); recording null
q53 [tpcds]: SKIPPED (not loaded); recording null
q54 [tpcds]: SKIPPED (not loaded); recording null
q55 [tpcds]: SKIPPED (not loaded); recording null
q56 [tpcds]: SKIPPED (not loaded); recording null
q57 [tpcds]: SKIPPED (not loaded); recording null
q58 [tpcds]: SKIPPED (not loaded); recording null
q59 [tpcds]: SKIPPED (not loaded); recording null
q60 [tpcds]: SKIPPED (not loaded); recording null
q61 [tpcds]: SKIPPED (not loaded); recording null
q62 [tpcds]: SKIPPED (not loaded); recording null
q63 [tpcds]: SKIPPED (not loaded); recording null
q64 [tpcds]: SKIPPED (not loaded); recording null
q65 [tpcds]: SKIPPED (not loaded); recording null
q66 [tpcds]: SKIPPED (not loaded); recording null
q67 [tpcds]: SKIPPED (not loaded); recording null
q68 [tpcds]: SKIPPED (not loaded); recording null
q69 [tpcds]: SKIPPED (not loaded); recording null
q70 [tpcds]: SKIPPED (not loaded); recording null
q71 [tpcds]: SKIPPED (not loaded); recording null
q72 [tpcds]: SKIPPED (not loaded); recording null
q73 [tpcds]: SKIPPED (not loaded); recording null
q74 [tpcds]: SKIPPED (not loaded); recording null
q75 [tpcds]: SKIPPED (not loaded); recording null
q76 [tpcds]: SKIPPED (not loaded); recording null
q77 [tpcds]: SKIPPED (not loaded); recording null
q78 [tpcds]: SKIPPED (not loaded); recording null
q79 [tpcds]: SKIPPED (not loaded); recording null
q80 [tpcds]: SKIPPED (not loaded); recording null
q81 [tpcds]: SKIPPED (not loaded); recording null
q82 [tpcds]: SKIPPED (not loaded); recording null
q83 [tpcds]: SKIPPED (not loaded); recording null
q84 [tpcds]: SKIPPED (not loaded); recording null
q85 [tpcds]: SKIPPED (not loaded); recording null
q86 [tpcds]: SKIPPED (not loaded); recording null
q87 [tpcds]: SKIPPED (not loaded); recording null
q88 [tpcds]: SKIPPED (not loaded); recording null
q89 [tpcds]: SKIPPED (not loaded); recording null
q90 [tpcds]: SKIPPED (not loaded); recording null
q91 [tpcds]: SKIPPED (not loaded); recording null
q92 [tpcds]: SKIPPED (not loaded); recording null
q93 [tpcds]: SKIPPED (not loaded); recording null
q94 [tpcds]: SKIPPED (not loaded); recording null
q95 [tpcds]: SKIPPED (not loaded); recording null
q96 [tpcds]: SKIPPED (not loaded); recording null
q97 [tpcds]: SKIPPED (not loaded); recording null
q98 [tpcds]: SKIPPED (not loaded); recording null
q99 [tpcds]: SKIPPED (not loaded); recording null
q100 [tpcds]: SKIPPED (not loaded); recording null
q101 [tpcds]: SKIPPED (not loaded); recording null
q102 [tpcds]: SKIPPED (not loaded); recording null
q103 [tpcds]: SKIPPED (not loaded); recording null
q104 [tpcds]: SKIPPED (not loaded); recording null
q105 [tpcds]: SKIPPED (not loaded); recording null
q106 [tpcds]: SKIPPED (not loaded); recording null
q107 [tpcds]: SKIPPED (not loaded); recording null
q108 [tpcds]: SKIPPED (not loaded); recording null
q109 [tpcds]: SKIPPED (not loaded); recording null
q110 [tpcds]: SKIPPED (not loaded); recording null
q111 [tpcds]: SKIPPED (not loaded); recording null
q112 [tpcds]: SKIPPED (not loaded); recording null
q113 [tpcds]: SKIPPED (not loaded); recording null
q114 [tpcds]: SKIPPED (not loaded); recording null
q115 [tpcds]: SKIPPED (not loaded); recording null
q116 [tpcds]: SKIPPED (not loaded); recording null
q117 [tpcds]: SKIPPED (not loaded); recording null
q118 [tpcds]: SKIPPED (not loaded); recording null
q119 [tpcds]: SKIPPED (not loaded); recording null
q120 [tpcds]: SKIPPED (not loaded); recording null
q121 [tpcds]: SKIPPED (not loaded); recording null
q122 [tpcds]: SKIPPED (not loaded); recording null
q123 [tpcds]: SKIPPED (not loaded); recording null
q124 [tpcds]: SKIPPED (not loaded); recording null
q125 [tpcds]: SKIPPED (not loaded); recording null
q126 [job]: [0.151, 0.083, 0.082, 0.082, 0.078, 0.073]
q127 [job]: [0.155, 0.084, 0.080, 0.082, 0.078, 0.081]
q128 [job]: [0.131, 0.067, 0.063, 0.066, 0.067, 0.067]
q129 [job]: [0.104, 0.075, 0.075, 0.077, 0.073, 0.070]
q130 [job]: [0.148, 0.088, 0.082, 0.086, 0.087, 0.082]
q131 [job]: [0.140, 0.088, 0.091, 0.089, 0.081, 0.077]
q132 [job]: [0.124, 0.079, 0.075, 0.080, 0.079, 0.073]
q133 [job]: [0.166, 0.092, 0.095, 0.096, 0.111, 0.090]
q134 [job]: [2.182, 0.307, 0.303, 0.309, 0.294, 0.279]
q135 [job]: [1.890, 0.139, 0.131, 0.115, 0.126, 0.113]
q136 [job]: [2.544, 0.802, 0.797, 0.812, 0.803, 0.816]
q137 [job]: [0.048, 0.039, 0.039, 0.037, 0.035, 0.038]
q138 [job]: [0.050, 0.035, 0.035, 0.039, 0.039, 0.035]
q139 [job]: [0.048, 0.043, 0.038, 0.044, 0.032, 0.039]
q140 [job]: [1.917, 0.154, 0.151, 0.138, 0.152, 0.137]
q141 [job]: [1.885, 0.153, 0.145, 0.147, 0.149, 0.145]
q142 [job]: [2.218, 0.202, 0.156, 0.147, 0.139, 0.185]
q143 [job]: [0.765, 0.100, 0.092, 0.094, 0.092, 0.085]
q144 [job]: [0.863, 0.112, 0.109, 0.112, 0.096, 0.101]
q145 [job]: [0.484, 0.088, 0.084, 0.078, 0.084, 0.080]
q146 [job]: [1.074, 0.133, 0.132, 0.128, 0.139, 0.129]
q147 [job]: [0.754, 0.094, 0.089, 0.089, 0.087, 0.084]
q148 [job]: [1.200, 0.146, 0.138, 0.131, 0.133, 0.140]
q149 [job]: [0.718, 0.124, 0.122, 0.117, 0.118, 0.118]
q150 [job]: [0.567, 0.127, 0.110, 0.116, 0.109, 0.114]
q151 [job]: [2.609, 0.466, 0.458, 0.431, 0.454, 0.444]
q152 [job]: [0.666, 0.116, 0.108, 0.106, 0.106, 0.111]
q153 [job]: [0.674, 0.129, 0.119, 0.119, 0.117, 0.121]
q154 [job]: [0.991, 0.359, 0.351, 0.353, 0.346, 0.341]
q155 [job]: [0.960, 0.187, 0.187, 0.174, 0.177, 0.176]
q156 [job]: [1.601, 0.151, 0.150, 0.153, 0.146, 0.148]
q157 [job]: [1.421, 0.154, 0.143, 0.138, 0.147, 0.148]
q158 [job]: [1.746, 0.142, 0.143, 0.139, 0.136, 0.138]
q159 [job]: [1.751, 0.200, 0.199, 0.201, 0.205, 0.196]
q160 [job]: [1.074, 0.144, 0.150, 0.144, 0.141, 0.143]
q161 [job]: [0.341, 0.134, 0.140, 0.124, 0.130, 0.136]
q162 [job]: [0.649, 0.148, 0.152, 0.148, 0.153, 0.150]
q163 [job]: [0.200, 0.105, 0.109, 0.095, 0.100, 0.113]
q164 [job]: [0.226, 0.108, 0.099, 0.099, 0.093, 0.103]
q165 [job]: [0.168, 0.099, 0.094, 0.092, 0.108, 0.092]
q166 [job]: [0.159, 0.096, 0.096, 0.098, 0.097, 0.097]
q167 [job]: [0.077, 0.075, 0.071, 0.076, 0.069, 0.067]
q168 [job]: [0.081, 0.069, 0.065, 0.067, 0.066, 0.069]
q169 [job]: [0.087, 0.075, 0.066, 0.065, 0.073, 0.069]
q170 [job]: [0.072, 0.062, 0.063, 0.067, 0.061, 0.060]
q171 [job]: [0.122, 0.081, 0.083, 0.080, 0.083, 0.086]
q172 [job]: [0.120, 0.091, 0.082, 0.085, 0.092, 0.088]
q173 [job]: [0.090, 0.080, 0.086, 0.077, 0.085, 0.083]
q174 [job]: [1.838, 0.168, 0.163, 0.162, 0.160, 0.154]
q175 [job]: [1.835, 0.155, 0.175, 0.161, 0.166, 0.162]
q176 [job]: [0.077, 0.075, 0.076, 0.102, 0.082, 0.073]
q177 [job]: [0.769, 0.229, 0.213, 0.208, 0.209, 0.232]
q178 [job]: [0.788, 0.207, 0.194, 0.181, 0.187, 0.187]
q179 [job]: [0.681, 0.208, 0.217, 0.196, 0.214, 0.219]
q180 [job]: [0.309, 0.165, 0.177, 0.164, 0.160, 0.160]
q181 [job]: [1.016, 0.129, 0.137, 0.132, 0.130, 0.132]
q182 [job]: [1.212, 0.401, 0.396, 0.401, 0.379, 0.402]
q183 [job]: [1.041, 0.182, 0.179, 0.180, 0.178, 0.175]
q184 [job]: [1.047, 0.169, 0.171, 0.173, 0.174, 0.171]
q185 [job]: [1.000, 0.121, 0.116, 0.130, 0.121, 0.141]
q186 [job]: [0.987, 0.141, 0.141, 0.142, 0.146, 0.145]
q187 [job]: [0.978, 0.139, 0.147, 0.146, 0.128, 0.130]
q188 [job]: [1.058, 0.126, 0.126, 0.125, 0.129, 0.139]
q189 [job]: [1.057, 0.118, 0.128, 0.123, 0.122, 0.125]
q190 [job]: [1.057, 0.135, 0.133, 0.131, 0.139, 0.138]
q191 [job]: [3.233, 0.276, 0.258, 0.235, 0.313, 0.370]
q192 [job]: [3.320, 0.204, 0.188, 0.185, 0.195, 0.192]
q193 [job]: [3.285, 0.214, 0.202, 0.214, 0.199, 0.192]
q194 [job]: FAILED (http rc=28, timeout >330s?): curl: (28) Operation timed out after 330002 milliseconds with 0 bytes 
q194 [job]: [null, null, null, null, null, null]
q195 [job]: [103.551, 109.711, 99.806, 99.867, 99.493, 107.328]
q196 [job]: FAILED (http rc=28, timeout >330s?): curl: (28) Operation timed out after 330002 milliseconds with 0 bytes 
q196 [job]: [null, null, null, null, null, null]
q197 [job]: FAILED (http rc=28, timeout >330s?): curl: (28) Operation timed out after 330001 milliseconds with 0 bytes 
q197 [job]: [null, null, null, null, null, null]
q198 [job]: [1.279, 0.246, 0.247, 0.246, 0.260, 0.258]
q199 [job]: [1.254, 0.178, 0.171, 0.171, 0.163, 0.172]
q200 [job]: [33.728, 32.287, 32.978, 31.312, 31.824, 31.918]
q201 [job]: [2.394, 0.199, 0.200, 0.196, 0.189, 0.197]
q202 [job]: [2.394, 0.200, 0.194, 0.197, 0.181, 0.197]
q203 [job]: [2.460, 0.219, 0.198, 0.210, 0.208, 0.214]
q204 [job]: [2.151, 0.137, 0.141, 0.141, 0.140, 0.140]
q205 [job]: [2.152, 0.142, 0.153, 0.143, 0.143, 0.143]
q206 [job]: [2.157, 0.152, 0.142, 0.142, 0.143, 0.141]
q207 [job]: [2.203, 0.191, 0.185, 0.204, 0.198, 0.190]
q208 [job]: [0.485, 0.230, 0.236, 0.242, 0.212, 0.253]
q209 [job]: [0.435, 0.213, 0.206, 0.208, 0.201, 0.206]
q210 [job]: [0.788, 0.249, 0.241, 0.236, 0.233, 0.236]
q211 [job]: [4.289, 0.295, 0.285, 0.280, 0.289, 0.281]
q212 [job]: [4.055, 0.257, 0.251, 0.243, 0.248, 0.246]
q213 [job]: [3.523, 0.213, 0.208, 0.206, 0.203, 0.200]
q214 [job]: [3.404, 0.178, 0.183, 0.183, 0.174, 0.175]
q215 [job]: [3.532, 0.218, 0.223, 0.210, 0.207, 0.213]
q216 [job]: [0.277, 0.207, 0.205, 0.199, 0.196, 0.202]
q217 [job]: [0.261, 0.186, 0.192, 0.195, 0.194, 0.199]
q218 [job]: [0.257, 0.202, 0.191, 0.188, 0.191, 0.203]
q219 [job]: [2.146, 0.253, 0.248, 0.251, 0.264, 0.249]
q220 [job]: [2.435, 0.203, 0.213, 0.202, 0.202, 0.199]
q221 [job]: [2.184, 0.263, 0.261, 0.229, 0.244, 0.243]
q222 [job]: [2.176, 0.177, 0.165, 0.166, 0.165, 0.165]
q223 [job]: [2.151, 0.167, 0.165, 0.158, 0.159, 0.163]
q224 [job]: [2.181, 0.183, 0.174, 0.182, 0.184, 0.190]
q225 [job]: [120.641, 112.468, 113.809, 113.583, 113.812, 113.743]
q226 [job]: [90.895, 86.645, 86.801, 86.494, 85.856, 85.952]
q227 [job]: [4.248, 0.349, 0.335, 0.337, 0.338, 0.341]
q228 [job]: [3.299, 0.247, 0.252, 0.244, 0.242, 0.248]
q229 [job]: [3.136, 0.238, 0.231, 0.239, 0.231, 0.218]
q230 [job]: [3.272, 0.238, 0.236, 0.241, 0.286, 0.228]
q231 [job]: [3.371, 0.221, 0.217, 0.221, 0.225, 0.227]
q232 [job]: [3.248, 0.229, 0.225, 0.208, 0.216, 0.213]
q233 [job]: [3.536, 0.251, 0.247, 0.246, 0.246, 0.248]
q234 [job]: [0.088, 0.061, 0.070, 0.059, 0.058, 0.055]
q235 [job]: [0.135, 0.074, 0.073, 0.073, 0.071, 0.072]
q236 [job]: [0.245, 0.181, 0.183, 0.174, 0.172, 0.158]
q237 [job]: [0.264, 0.182, 0.185, 0.180, 0.174, 0.176]
q238 [job]: [0.242, 0.170, 0.176, 0.185, 0.171, 0.185]
wrote /home/ubuntu/dbbench/results/firebolt/20260831T152008Z.json
Firebolt 4.31.13: tpch 0/22  tpcds 0/103  job 110/113   load_time {'job': 24}
